SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2016,MIL,27,0,0,0,26.2,24,9,8,1,6,26,0,1,1,0,0,0.5,1.13,2.70
2017,MIL,73,0,0,0,72.0,57,35,32,8,33,80,3,4,2,24,5,0.4,1.25,4.00
2018,MIL,17,0,0,0,19.0,23,9,6,1,9,19,0,1,2,3,2,-0.2,1.68,2.84
