YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2016,ATL,38,129,20,39,7,1,3,17,13,34,3,0,.302,.361,.442,.803,0.9
2017,ATL,144,488,59,113,23,2,6,51,59,120,3,3,.232,.312,.324,.636,-0.3
2018,ATL,33,132,14,36,9,1,2,16,7,39,2,1,.273,.314,.402,.716,1.2
