YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2015,LAD,20,29,4,6,2,0,0,1,6,6,1,0,.207,.361,.276,.637,0.1
2016,LAD,21,32,3,5,1,0,0,2,5,9,0,0,.156,.270,.188,.458,-0.2
2017,LAD,102,218,35,63,15,2,8,38,39,43,4,1,.289,.408,.486,.894,2.6
2018,LAD,42,76,15,16,3,0,1,3,17,20,1,0,.211,.388,.289,.677,0.6
