YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2017,NYM,49,167,17,33,6,0,9,26,14,49,0,0,.198,.262,.395,.657,-1.2
2018,NYM,2,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.0
