SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2012,CIN,3,0,0,0,5.0,4,1,1,1,2,9,0,0,0,0,0,0.1,1.20,1.80
2013,CIN,23,18,0,0,104.2,72,37,34,14,43,120,7,4,0,1,0,2.2,1.10,2.92
2014,CIN,13,11,0,0,63.1,62,33,32,12,35,61,2,8,0,0,0,-0.2,1.53,4.55
2015,CIN,35,1,0,0,33.1,31,21,21,3,25,39,0,3,0,9,2,-0.6,1.68,5.67
2016,CIN,65,0,0,0,63.0,54,30,29,5,37,49,2,5,17,8,6,0.7,1.44,4.14
2017,CIN,25,0,0,0,23.1,25,14,14,9,6,24,0,0,0,4,1,-0.1,1.33,5.40
2017,LAD,22,0,0,0,19.1,15,8,6,1,6,28,0,0,0,5,0,0.1,1.09,2.79
2017,Total,47,0,0,0,42.2,40,22,20,10,12,52,0,0,0,9,1,0.0,1.22,4.22
2018,LAD,21,0,0,0,16.1,15,12,12,2,5,26,0,2,0,8,2,-0.6,1.22,6.61
